Invoice,InvoiceDate,Customer ID,basket_size,frequency,customer_segment
566184,2011-09-09 13:01:00,16723.0,1,1,One-time
566186,2011-09-09 13:02:00,16603.0,23,2,Occasional
566188,2011-09-09 13:14:00,14312.0,9,2,Occasional
566189,2011-09-09 13:19:00,17800.0,12,3,Occasional
566190,2011-09-09 13:20:00,12748.0,36,79,Frequent
566191,2011-09-09 13:26:00,14388.0,24,3,Occasional
566192,2011-09-09 13:34:00,14915.0,4,1,One-time
566193,2011-09-09 13:37:00,14961.0,55,3,Occasional
566194,2011-09-09 13:42:00,14711.0,51,3,Occasional
566195,2011-09-09 13:44:00,12433.0,81,5,Frequent
566196,2011-09-09 13:47:00,14180.0,4,4,Frequent
566198,2011-09-09 13:58:00,18109.0,25,9,Frequent
566199,2011-09-09 14:12:00,14824.0,15,4,Frequent
566200,2011-09-09 14:14:00,16910.0,52,8,Frequent
566201,2011-09-09 14:18:00,15189.0,1,9,Frequent
566202,2011-09-09 14:22:00,15652.0,21,1,One-time
566203,2011-09-09 14:47:00,16362.0,34,5,Frequent
566204,2011-09-09 14:58:00,14628.0,12,1,One-time
566206,2011-09-09 15:00:00,16362.0,3,5,Frequent
566207,2011-09-09 15:02:00,12830.0,9,2,Occasional
566208,2011-09-09 15:03:00,16362.0,2,5,Frequent
566213,2011-09-09 15:09:00,14895.0,74,10,Frequent
566214,2011-09-09 15:10:00,14895.0,1,10,Frequent
566215,2011-09-09 15:11:00,14895.0,5,10,Frequent
566217,2011-09-09 15:17:00,14096.0,34,15,Frequent
566218,2011-09-09 15:25:00,13079.0,1,4,Frequent
566219,2011-09-09 15:51:00,17426.0,57,3,Occasional
566220,2011-09-09 15:53:00,15251.0,25,4,Frequent
566225,2011-09-11 10:35:00,16899.0,10,3,Occasional
566226,2011-09-11 10:39:00,15605.0,11,2,Occasional
566227,2011-09-11 10:42:00,14258.0,16,2,Occasional
566228,2011-09-11 10:52:00,13408.0,5,21,Frequent
566229,2011-09-11 10:53:00,13408.0,5,21,Frequent
566230,2011-09-11 10:57:00,15159.0,23,12,Frequent
566231,2011-09-11 10:58:00,14837.0,18,1,One-time
566232,2011-09-11 10:58:00,15159.0,6,12,Frequent
